"PROBEID","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"1053_at","1053_at","replication factor C subunit 2","RFC2","5982","","","","Human replication factor C, 40-kDa subunit (A1) mRNA, complete cds",1590810,"M87338",NA,NA,"","7q11.23","Chromosome 7, NC_000007.14 (74231502..74254458, complement)","ATP binding///contributes_to DNA clamp loader activity///enzyme binding///protein binding///contributes_to single-stranded DNA-dependent ATPase activity","DNA damage response, detection of DNA damage///DNA replication///error-free translesion synthesis///error-prone translesion synthesis///nucleotide-excision repair, DNA gap filling///nucleotide-excision repair, DNA incision///nucleotide-excision repair, DNA incision, 5'-to lesion///positive regulation of DNA-directed DNA polymerase activity///regulation of signal transduction by p53 class mediator///telomere maintenance via recombination///transcription-coupled nucleotide-excision repair///translesion synthesis","Ctf18 RFC-like complex///DNA replication factor C complex///nucleoplasm","GO:0005524///contributes_to GO:0003689///GO:0019899///GO:0005515///contributes_to GO:0043142","GO:0042769///GO:0006260///GO:0070987///GO:0042276///GO:0006297///GO:0033683///GO:0006296///GO:1900264///GO:1901796///GO:0000722///GO:0006283///GO:0019985","GO:0031390///GO:0005663///GO:0005654",-0.645909033333332,3.07247518181818,-2.28924354234812,0.0312004113424248,0.999988917839134,-4.40654034841316,"RFC2","replication factor C subunit 2"
"1552278_a_at","1552278_a_at","solute carrier family 46 member 1","SLC46A1","113235","","","","Homo sapiens solute carrier family 46 member 1 (SLC46A1), transcript variant 1, mRNA",530788234,"NM_080669",NA,NA,"","17q11.2","Chromosome 17, NC_000017.11 (28394642..28406630, complement)","folic acid binding///folic acid transporter activity///folic acid transporter activity///folic acid transporter activity///NOT heme transporter activity///heme transporter activity///hydrogen ion transmembrane transporter activity///methotrexate transporter activity","cellular iron ion homeostasis///folic acid import into cell///folic acid metabolic process///folic acid transport///folic acid transport///heme transport///hydrogen ion transmembrane transport///intestinal folate absorption///methotrexate transport///methotrexate transport","apical plasma membrane///brush border membrane///cell surface///cytoplasm///integral component of membrane///plasma membrane///plasma membrane","GO:0005542///GO:0008517///GO:0008517///GO:0008517///NOT GO:0015232///GO:0015232///GO:0015078///GO:0015350","GO:0006879///GO:1904447///GO:0046655///GO:0015884///GO:0015884///GO:0015886///GO:1902600///GO:0098829///GO:0051958///GO:0051958","GO:0016324///GO:0031526///GO:0009986///GO:0005737///GO:0016021///GO:0005886///GO:0005886",0.720318866666668,5.00449518181818,2.29028202484032,0.031131005838084,0.999988917839134,-4.4063552932631,"SLC46A1","solute carrier family 46 member 1"
"1552399_a_at","1552399_a_at","BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit","BRF1","2972","","","","",NA,"",NA,NA,"","14q","Chromosome 14, NC_000014.9 (105209286..105315577, complement)","TBP-class protein binding///zinc ion binding","rRNA transcription///regulation of transcription, DNA-templated///tRNA transcription///transcription from RNA polymerase III promoter///transcription initiation from RNA polymerase III promoter","nucleoplasm///transcription factor TFIIIB complex","GO:0017025///GO:0008270","GO:0009303///GO:0006355///GO:0009304///GO:0006383///GO:0006384","GO:0005654///GO:0000126",1.078014,7.99225522727273,3.21863813597648,0.00368369133597059,0.999988917839134,-4.23592177755313,"BRF1","BRF1 general transcription factor IIIB subunit"
"1552438_a_at","1552438_a_at","ankyrin and armadillo repeat containing","ANKAR","150709","","","","Homo sapiens ankyrin and armadillo repeat containing (ANKAR), mRNA",284413733,"NM_144708",NA,NA,"","2q32.2","Chromosome 2, NC_000002.12 (189674292..189763059)","","","cytoplasm///integral component of membrane///nucleus","","","GO:0005737///GO:0016021///GO:0005634",-0.655751566666666,2.46337240909091,-2.72792968211248,0.0117543198994228,0.999988917839134,-4.32664260579576,"ANKAR","ankyrin and armadillo repeat containing"
"1552450_a_at","1552450_a_at","DnaJ heat shock protein family (Hsp40) member C5 gamma","DNAJC5G","285126","","","","Homo sapiens DnaJ heat shock protein family (Hsp40) member C5 gamma (DNAJC5G), transcript variant 1, mRNA",734520290,"NM_173650",NA,NA,"","2p23.3","Chromosome 2, NC_000002.12 (27275421..27281430)","","","membrane","","","GO:0016020",-0.661428866666665,4.74386990909091,-2.23483125574375,0.0350403919796031,0.999988917839134,-4.41619844434596,"DNAJC5G","DnaJ heat shock protein family (Hsp40) member C5 gamma"
"1552689_at","1552689_at","CASK interacting protein 1","CASKIN1","57524","","","","Homo sapiens CASK interacting protein 1 (CASKIN1), mRNA",229577309,"NM_020764",NA,NA,"","16p13.3","Chromosome 16, NC_000016.10 (2177183..2196464, complement)","protein binding///protein domain specific binding","signal transduction///signal transduction","cytoplasm///cytoplasm","GO:0005515///GO:0019904","GO:0007165///GO:0007165","GO:0005737///GO:0005737",0.628240200000002,9.2819415,2.38215451577944,0.0255208775044592,0.999988917839134,-4.38988579077205,"CASKIN1","CASK interacting protein 1"
"1552703_s_at","1552703_s_at","caspase recruitment domain family member 16///caspase 1","CARD16///CASP1","114769///834","","","","Homo sapiens caspase recruitment domain family member 16 (CARD16), transcript variant 2, mRNA",62953111,"NM_052889",NA,NA,"","11q22///11q23","Chromosome 11, NC_000011.10 (105040218..105045416, complement)///Chromosome 11, NC_000011.10 (105025508..105035591, complement)","cysteine-type endopeptidase inhibitor activity///cysteine-type endopeptidase activator activity involved in apoptotic process///cysteine-type endopeptidase activity///NOT cysteine-type endopeptidase activity involved in apoptotic process///endopeptidase activity///protein binding","negative regulation of endopeptidase activity///regulation of apoptotic process///activation of cysteine-type endopeptidase activity involved in apoptotic process///apoptotic process///cellular response to mechanical stimulus///cellular response to organic substance///interleukin-1 beta production///membrane hyperpolarization///mitochondrial depolarization///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of interleukin-1 alpha secretion///positive regulation of interleukin-1 beta secretion///programmed necrotic cell death///protein processing///proteolysis///pyroptosis///regulation of apoptotic process///regulation of autophagy///NOT regulation of inflammatory response///response to ATP///response to hypoxia///response to lipopolysaccharide///signal transduction///toxin transport","AIM2 inflammasome complex///NOT IPAF inflammasome complex///IPAF inflammasome complex///NLRP1 inflammasome complex///NLRP3 inflammasome complex///cytosol///extracellular region///mitochondrion","GO:0004869///GO:0008656///GO:0004197///NOT GO:0097153///GO:0004175///GO:0005515","GO:0010951///GO:0042981///GO:0006919///GO:0006915///GO:0071260///GO:0071310///GO:0032611///GO:0060081///GO:0051882///GO:0043123///GO:0050717///GO:0050718///GO:0097300///GO:0016485///GO:0006508///GO:0070269///GO:0042981///GO:0010506///NOT GO:0050727///GO:0033198///GO:0001666///GO:0032496///GO:0007165///GO:1901998","GO:0097169///NOT GO:0072557///GO:0072557///GO:0072558///GO:0072559///GO:0005829///GO:0005576///GO:0005739",0.593897100000001,2.62690027272727,2.07938057572766,0.0484818482214635,0.999988917839134,-4.44332530787336,"CARD16","caspase recruitment domain family member 16"
"1552703_s_at","1552703_s_at","caspase recruitment domain family member 16///caspase 1","CARD16///CASP1","114769///834","","","","Homo sapiens caspase recruitment domain family member 16 (CARD16), transcript variant 2, mRNA",62953111,"NM_052889",NA,NA,"","11q22///11q23","Chromosome 11, NC_000011.10 (105040218..105045416, complement)///Chromosome 11, NC_000011.10 (105025508..105035591, complement)","cysteine-type endopeptidase inhibitor activity///cysteine-type endopeptidase activator activity involved in apoptotic process///cysteine-type endopeptidase activity///NOT cysteine-type endopeptidase activity involved in apoptotic process///endopeptidase activity///protein binding","negative regulation of endopeptidase activity///regulation of apoptotic process///activation of cysteine-type endopeptidase activity involved in apoptotic process///apoptotic process///cellular response to mechanical stimulus///cellular response to organic substance///interleukin-1 beta production///membrane hyperpolarization///mitochondrial depolarization///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of interleukin-1 alpha secretion///positive regulation of interleukin-1 beta secretion///programmed necrotic cell death///protein processing///proteolysis///pyroptosis///regulation of apoptotic process///regulation of autophagy///NOT regulation of inflammatory response///response to ATP///response to hypoxia///response to lipopolysaccharide///signal transduction///toxin transport","AIM2 inflammasome complex///NOT IPAF inflammasome complex///IPAF inflammasome complex///NLRP1 inflammasome complex///NLRP3 inflammasome complex///cytosol///extracellular region///mitochondrion","GO:0004869///GO:0008656///GO:0004197///NOT GO:0097153///GO:0004175///GO:0005515","GO:0010951///GO:0042981///GO:0006919///GO:0006915///GO:0071260///GO:0071310///GO:0032611///GO:0060081///GO:0051882///GO:0043123///GO:0050717///GO:0050718///GO:0097300///GO:0016485///GO:0006508///GO:0070269///GO:0042981///GO:0010506///NOT GO:0050727///GO:0033198///GO:0001666///GO:0032496///GO:0007165///GO:1901998","GO:0097169///NOT GO:0072557///GO:0072557///GO:0072558///GO:0072559///GO:0005829///GO:0005576///GO:0005739",0.593897100000001,2.62690027272727,2.07938057572766,0.0484818482214635,0.999988917839134,-4.44332530787336,"CASP1","caspase 1"
"1552718_at","1552718_at","D-tyrosyl-tRNA deacylase 1","DTD1","92675","","","","Homo sapiens D-tyrosyl-tRNA deacylase 1 (DTD1), transcript variant 2, mRNA",968121892,"NM_080820",NA,NA,"","20p11.23","Chromosome 20, NC_000020.11 (18587893..18763917)","D-tyrosyl-tRNA(Tyr) deacylase activity///DNA binding///aminoacyl-tRNA editing activity///metal ion binding","D-amino acid catabolic process///DNA replication///regulation of translational fidelity///tRNA metabolic process","cytoplasm///nucleus","GO:0051500///GO:0003677///GO:0002161///GO:0046872","GO:0019478///GO:0006260///GO:0006450///GO:0006399","GO:0005737///GO:0005634",-0.639941066666665,4.38939136363636,-2.19711182887759,0.0379489727201883,0.999988917839134,-4.42284724743902,"DTD1","D-aminoacyl-tRNA deacylase 1"
"1552897_a_at","1552897_a_at","potassium voltage-gated channel modifier subfamily G member 3","KCNG3","170850","","","","Homo sapiens potassium voltage-gated channel modifier subfamily G member 3 (KCNG3), transcript variant 1, mRNA",313661484,"NM_133329",NA,NA,"","2p21","Chromosome 2, NC_000002.12 (42442017..42494097, complement)","delayed rectifier potassium channel activity///protein binding","potassium ion transmembrane transport///protein homooligomerization///regulation of ion transmembrane transport","endoplasmic reticulum///plasma membrane///plasma membrane///colocalizes_with voltage-gated potassium channel complex","GO:0005251///GO:0005515","GO:0071805///GO:0051260///GO:0034765","GO:0005783///GO:0005886///GO:0005886///colocalizes_with GO:0008076",0.911413133333334,5.15132768181818,2.48879115388552,0.0201827346949608,0.999988917839134,-4.37055786601243,"KCNG3","potassium voltage-gated channel modifier subfamily G member 3"
