"PROBEID","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"1552314_a_at","1552314_a_at","EYA transcriptional coactivator and phosphatase 3","EYA3","2140","","","","",NA,"",NA,NA,"","1p36","Chromosome 1, NC_000001.11 (27970344..28088671, complement)","metal ion binding///protein binding///protein tyrosine phosphatase activity///protein tyrosine phosphatase activity","anatomical structure morphogenesis///double-strand break repair///histone dephosphorylation///multicellular organism development///peptidyl-tyrosine dephosphorylation///positive regulation of DNA repair///regulation of transcription, DNA-templated///response to ionizing radiation///transcription, DNA-templated///visual perception","centrosome///cytoplasm///nucleoplasm///nucleoplasm///nucleus///transcription factor complex","GO:0046872///GO:0005515///GO:0004725///GO:0004725","GO:0009653///GO:0006302///GO:0016576///GO:0007275///GO:0035335///GO:0045739///GO:0006355///GO:0010212///GO:0006351///GO:0007601","GO:0005813///GO:0005737///GO:0005654///GO:0005654///GO:0005634///GO:0005667",-0.523923066666665,3.26718431818182,-2.21483055918328,0.0365564833712007,0.999963124668809,-4.41543113086622,"EYA3","EYA transcriptional coactivator and phosphatase 3"
"1552514_at","1552514_at","WBP2 N-terminal like","WBP2NL","164684","","","","Homo sapiens WBP2 N-terminal like (WBP2NL), mRNA",224593259,"NM_152613",NA,NA,"","22q13.2","Chromosome 22, NC_000022.11 (41998725..42058456)","WW domain binding","egg activation///female pronucleus assembly///male pronucleus assembly///meiotic cell cycle","perinuclear theca","GO:0050699","GO:0007343///GO:0035038///GO:0035039///GO:0051321","GO:0033011",0.885901566666668,2.8802795,2.47313595111867,0.020895631065156,0.999963124668809,-4.3679420769538,"WBP2NL","WBP2 N-terminal like"
"1552515_at","1552515_at","homeodomain interacting protein kinase 1","HIPK1","204851","","","","Homo sapiens homeodomain interacting protein kinase 1 (HIPK1), transcript variant 2, mRNA",38201637,"NM_152696",NA,NA,"","1p13.2","Chromosome 1, NC_000001.11 (113929197..113977869)","ATP binding///protein binding///protein serine/threonine kinase activity","adherens junction assembly///anterior/posterior pattern specification///definitive hemopoiesis///embryonic camera-type eye morphogenesis///embryonic retina morphogenesis in camera-type eye///endothelial cell apoptotic process///extrinsic apoptotic signaling pathway///eye development///intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator///iris morphogenesis///lens induction in camera-type eye///neuron differentiation///positive regulation of angiogenesis///positive regulation of cell proliferation///protein phosphorylation///regulation of signal transduction by p53 class mediator///regulation of transcription, DNA-templated///regulation of tumor necrosis factor-mediated signaling pathway///retina layer formation///smoothened signaling pathway///transcription, DNA-templated","PML body///cytoplasm///nuclear speck///nucleoplasm///nucleus","GO:0005524///GO:0005515///GO:0004674","GO:0034333///GO:0009952///GO:0060216///GO:0048596///GO:0060059///GO:0072577///GO:0097191///GO:0001654///GO:0042771///GO:0061072///GO:0060235///GO:0030182///GO:0045766///GO:0008284///GO:0006468///GO:1901796///GO:0006355///GO:0010803///GO:0010842///GO:0007224///GO:0006351","GO:0016605///GO:0005737///GO:0016607///GO:0005654///GO:0005634",0.9496205,4.15853031818182,2.29428578547331,0.0308647366681278,0.999963124668809,-4.4009891117409,"HIPK1","homeodomain interacting protein kinase 1"
"1552536_at","1552536_at","vesicle transport through interaction with t-SNAREs 1A","VTI1A","143187","","","","Homo sapiens vesicle transport through interaction with t-SNAREs 1A (VTI1A), transcript variant 2, mRNA",970598267,"NM_145206",NA,NA,"","10q25.2","Chromosome 10, NC_000010.11 (112446988..112947204)","SNAP receptor activity///SNARE binding///protein binding","ER to Golgi vesicle-mediated transport///ER to Golgi vesicle-mediated transport///Golgi ribbon formation///Golgi to vacuole transport///autophagy///intra-Golgi vesicle-mediated transport///protein targeting to vacuole///retrograde transport, endosome to Golgi///retrograde transport, endosome to Golgi///vesicle fusion with Golgi apparatus///vesicle fusion with Golgi apparatus///voluntary musculoskeletal movement","ER to Golgi transport vesicle membrane///Golgi apparatus///Golgi membrane///SNARE complex///SNARE complex///autophagosome///clathrin-coated vesicle///cytosol///endoplasmic reticulum membrane///endosome///integral component of membrane///late endosome membrane///neuron projection terminus///neuronal cell body///perinuclear region of cytoplasm///synaptic vesicle///trans-Golgi network membrane","GO:0005484///GO:0000149///GO:0005515","GO:0006888///GO:0006888///GO:0090161///GO:0006896///GO:0006914///GO:0006891///GO:0006623///GO:0042147///GO:0042147///GO:0048280///GO:0048280///GO:0050882","GO:0012507///GO:0005794///GO:0000139///GO:0031201///GO:0031201///GO:0005776///GO:0030136///GO:0005829///GO:0005789///GO:0005768///GO:0016021///GO:0031902///GO:0044306///GO:0043025///GO:0048471///GO:0008021///GO:0032588",-0.5077152,5.18270963636364,-2.40024982238861,0.0245318837207633,0.999963124668809,-4.38148868304182,"VTI1A","vesicle transport through interaction with t-SNAREs 1A"
"1552543_a_at","1552543_a_at","stonin 2","STON2","85439","","","","Homo sapiens stonin 2 (STON2), transcript variant 1, mRNA",374093217,"NM_033104",NA,NA,"","14q31.1","Chromosome 14, NC_000014.9 (81260650..81427404, complement)","protein binding","hematopoietic progenitor cell differentiation///regulation of endocytosis///synaptic vesicle endocytosis","cell junction///clathrin-coated vesicle///cytoplasm///membrane///neuron projection///nucleolus///synaptic vesicle","GO:0005515","GO:0002244///GO:0030100///GO:0048488","GO:0030054///GO:0030136///GO:0005737///GO:0016020///GO:0043005///GO:0005730///GO:0008021",0.989316333333336,6.59319540909091,2.20040270694725,0.0376867742653161,0.999963124668809,-4.41803489412185,"STON2","stonin 2"
"1552590_a_at","1552590_a_at","ATP binding cassette subfamily C member 12","ABCC12","94160","","","","",NA,"",NA,NA,"","16q12.1","Chromosome 16, NC_000016.10 (48082973..48146770, complement)","ATP binding///ATPase activity, coupled to transmembrane movement of substances","transmembrane transport","integral component of membrane///mitochondrion","GO:0005524///GO:0042626","GO:0055085","GO:0016021///GO:0005739",-0.703057166666666,2.6548335,-2.25524925336509,0.0335517473831009,0.999963124668809,-4.40810558296801,"ABCC12","ATP binding cassette subfamily C member 12"
"1552715_a_at","1552715_a_at","relaxin/insulin like family peptide receptor 1","RXFP1","59350","","","","Homo sapiens relaxin/insulin like family peptide receptor 1 (RXFP1), transcript variant 1, mRNA",358784659,"NM_021634",NA,NA,"","4q32.1","Chromosome 4, NC_000004.12 (158521711..158653372)","G-protein coupled receptor activity///metal ion binding///protein binding","adenylate cyclase-modulating G-protein coupled receptor signaling pathway","integral component of membrane///plasma membrane///plasma membrane","GO:0004930///GO:0046872///GO:0005515","GO:0007188","GO:0016021///GO:0005886///GO:0005886",-1.34224006666666,4.95732886363636,-2.2589719665846,0.0332866100902719,0.999963124668809,-4.40742863152618,"RXFP1","relaxin family peptide receptor 1"
"1552721_a_at","1552721_a_at","fibroblast growth factor 1","FGF1","2246","","","","Homo sapiens fibroblast growth factor 1 (FGF1), transcript variant 2, mRNA",380748934,"NM_033136",NA,NA,"","5q31","Chromosome 5, NC_000005.10 (142592178..142698070, complement)","1-phosphatidylinositol-3-kinase activity///Hsp70 protein binding///Ras guanyl-nucleotide exchange factor activity///S100 protein binding///fibroblast growth factor receptor binding///fibroblast growth factor receptor binding///growth factor activity///heparin binding///heparin binding///integrin binding///phosphatidylinositol-4,5-bisphosphate 3-kinase activity///protein binding///protein tyrosine kinase activity","MAPK cascade///activation of MAPK activity///activation of protein kinase B activity///anatomical structure morphogenesis///angiogenesis///branch elongation involved in ureteric bud branching///cell differentiation///cell proliferation///cellular response to heat///fibroblast growth factor receptor signaling pathway///fibroblast growth factor receptor signaling pathway///fibroblast growth factor receptor signaling pathway///fibroblast growth factor receptor signaling pathway///fibroblast growth factor receptor signaling pathway///lung development///mesonephric epithelium development///multicellular organism development///organ induction///peptidyl-tyrosine phosphorylation///phosphatidylinositol phosphorylation///phosphatidylinositol-3-phosphate biosynthetic process///phosphatidylinositol-mediated signaling///positive regulation of ERK1 and ERK2 cascade///positive regulation of GTPase activity///positive regulation of MAP kinase activity///positive regulation of angiogenesis///positive regulation of cell division///positive regulation of cell migration///positive regulation of cell migration///positive regulation of cell proliferation///positive regulation of cell proliferation///positive regulation of cholesterol biosynthetic process///positive regulation of endothelial cell migration///positive regulation of epithelial cell proliferation///positive regulation of intracellular signal transduction///positive regulation of sprouting angiogenesis///positive regulation of transcription from RNA polymerase II promoter///regulation of endothelial cell chemotaxis to fibroblast growth factor///regulation of endothelial tube morphogenesis///regulation of phosphatidylinositol 3-kinase signaling///signal transduction","cell cortex///cytosol///extracellular region///extracellular region///extracellular space///nucleolus///nucleoplasm///proteinaceous extracellular matrix","GO:0016303///GO:0030544///GO:0005088///GO:0044548///GO:0005104///GO:0005104///GO:0008083///GO:0008201///GO:0008201///GO:0005178///GO:0046934///GO:0005515///GO:0004713","GO:0000165///GO:0000187///GO:0032148///GO:0009653///GO:0001525///GO:0060681///GO:0030154///GO:0008283///GO:0034605///GO:0008543///GO:0008543///GO:0008543///GO:0008543///GO:0008543///GO:0030324///GO:0072163///GO:0007275///GO:0001759///GO:0018108///GO:0046854///GO:0036092///GO:0048015///GO:0070374///GO:0043547///GO:0043406///GO:0045766///GO:0051781///GO:0030335///GO:0030335///GO:0008284///GO:0008284///GO:0045542///GO:0010595///GO:0050679///GO:1902533///GO:1903672///GO:0045944///GO:2000544///GO:1901509///GO:0014066///GO:0007165","GO:0005938///GO:0005829///GO:0005576///GO:0005576///GO:0005615///GO:0005730///GO:0005654///GO:0005578",0.823352700000001,2.95816413636364,2.88393877856811,0.00818261988034517,0.999963124668809,-4.29038734008705,"FGF1","fibroblast growth factor 1"
"1552725_s_at","1552725_s_at","ADAM metallopeptidase with thrombospondin type 1 motif 17","ADAMTS17","170691","","","","Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif 17 (ADAMTS17), mRNA",1027854189,"NM_139057",NA,NA,"","15q24","Chromosome 15, NC_000015.10 (99971438..100342924, complement)","metalloendopeptidase activity///zinc ion binding","proteolysis","proteinaceous extracellular matrix","GO:0004222///GO:0008270","GO:0006508","GO:0005578",0.710845066666669,5.49432468181818,2.12850958303453,0.043803494575466,0.999963124668809,-4.4309153611662,"ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17"
"1552733_at","1552733_at","kelch domain containing 1","KLHDC1","122773","","","","Homo sapiens kelch domain containing 1 (KLHDC1), mRNA",295849292,"NM_172193",NA,NA,"","14q21.3","Chromosome 14, NC_000014.9 (49693105..49753152)","","","cytoplasm","","","GO:0005737",-0.806530699999999,3.65995945454545,-2.66280934260696,0.013643726289995,0.999963124668809,-4.33231340929488,"KLHDC1","kelch domain containing 1"
